Year,Total Recharge (measured in thousands of acre-feet)
1934,179.60
1935,"1,258.20"
1936,909.60
1937,400.70
1938,432.70
1939,399.00
1940,308.80
1941,850.70
1942,557.80
1943,273.10
1944,560.90
1945,527.80
1946,556.10
1947,422.60
1948,178.30
1949,508.10
1950,200.20
1951,139.90
1952,275.50
1953,167.60
1954,162.10
1955,192.00
1956,43.70
1957,"1,142.60"
1958,"1,711.20"
1959,690.40
1960,824.80
1961,717.10
1962,239.40
1963,170.70
1964,413.20
1965,623.50
1966,615.20
1967,466.50
1968,884.70
1969,610.50
1970,661.60
1971,925.30
1972,756.40
1973,"1,486.50"
1974,658.50
1975,973.00
1976,894.10
1977,952.00
1978,502.50
1979,"1,117.80"
1980,406.40
1981,"1,448.40"
1982,422.40
1983,420.10
1984,197.70
1985,"1,003.30"
1986,"1,153.70"
1987,"2,003.60"
1988,355.50
1989,214.40
1990,"1,123.20"
1991,"1,508.40"
1992,"2,485.70"
1993,447.60
1994,538.10
1995,531.30
1996,324.30
1997,"1,134.60"
1998,"1,142.30"
1999,473.50
2000,614.50
2001,"1,069.40"
2002,"1,573.70"
2003,669.00
2004,"2,176.10"
2005,764.00
2006,201.60
2007,"2,162.30"
2008,212.90
2009,210.90
2010,813.50
2011,112.00
2012,313.50
