Date,Station ID: AY 68-37-203
1932,675.9284444
1933,673.6406463
1934,670.4065014
1935,673.6804264
1936,680.1553503
1937,678.2729834
1938,676.8616343
1939,670.1992975
1940,665.1854407
1941,676.372
1942,676.4451944
1943,673.1392174
1944,672.1977966
1945,675.22375
1946,673.1632849
1947,672.0207394
1948,659.347871
1949,662.3477135
1950,659.4780274
1951,648.3519452
1952,642.6324863
1953,642.8683754
1954,635.8018289
1955,630.8421547
1956,623.1509836
1957,637.1188767
1958,666.7902486
1959,672.0067857
1960,671.7045205
1961,674.8342466
1962,663.4681044
1963,651.8947324
1964,648.0771585
1965,659.6286849
1966,659.4361538
1967,644.819351
1968,670.1143716
1969,664.3702466
1970,665.8043014
1971,651.6140274
1972,668.0121038
1973,681.9524658
1974,678.2443562
1975,679.3312055
1976,678.1262192
1977,686.5059116
1978,673.2055807
1979,682.3877534
1980,663.3322857
1981,674.4084807
1982,665.4723288
1983,657.3258678
1984,638.7970219
1985,659.312562
1986,666.7662466
1987,684.2446429
1988,664.6300273
1989,644.1862842
1990,645.8410221
1991,654.8158678
1992,691.934153
1993,683.4692308
1994,669.7216712
1995,664.4586301
1996,644.7224044
1997,662.8818356
1998,667.5953425
1999,670.4010411
2000,656.255765
2001,674.8288493
2002,681.6908767
2003,684.3711205
2004,686.4219672
2005,686.133263
2006,662.7148567
2007,683.9355014
2008,674.1876448
2009,658.7829616
2010,676.1338384
2011,653.7013342
2012,651.5695628
2013,644.4026849
2014,640.6826391
