Date,Total Recharge
1934,179.6
1935,1258.2
1936,909.6
1937,400.7
1938,432.7
1939,399
1940,308.8
1941,850.7
1942,557.8
1943,273.1
1944,560.9
1945,527.8
1946,556.1
1947,422.6
1948,178.3
1949,508.1
1950,200.2
1951,139.9
1952,275.5
1953,167.6
1954,162.1
1955,192
1956,43.7
1957,1142.6
1958,1711.2
1959,690.4
1960,824.8
1961,717.1
1962,239.4
1963,170.7
1964,413.2
1965,623.5
1966,615.2
1967,466.5
1968,884.7
1969,610.5
1970,661.6
1971,925.3
1972,756.4
1973,1486.5
1974,658.5
1975,973
1976,894.1
1977,952
1978,502.5
1979,1117.8
1980,406.4
1981,1448.4
1982,422.4
1983,420.1
1984,197.7
1985,1003.3
1986,1153.7
1987,2003.6
1988,355.5
1989,214.4
1990,1123.2
1991,1508.4
1992,2485.7
1993,447.6
1994,538.1
1995,531.3
1996,324.3
1997,1134.6
1998,1142.3
1999,473.5
2000,614.5
2001,1069.4
2002,1573.7
2003,669
2004,2176.1
2005,764
2006,201.6
2007,2162.3
2008,212.9
2009,210.9
2010,813.5
2011,112
2012,313.5
